jobid,duration,size
     1,  7662,     1
     2, 23014,     3
     3, 12686,     2
     4,  8421,     1
     5, 31414,     2
     6,   490,     2
     7, 60097,     3
     8, 30989,     1
     9, 43101,     1
    10, 27623,     1
    11,  8972,     2
    12, 57268,     2
    13, 23442,     4
    14, 27213,     1
    15, 22611,     2
    16,   460,     1
    17,  3127,     3
    18, 21867,     3
    19,  9856,     1
    20, 25003,     2
    21, 10151,     4
    22,  1762,     3
    23, 24105,     2
    24,  2695,     1
    25,  1135,     3
    26,  4845,     1
    27, 41373,     4
    28,  6579,     2
    29, 25530,     2
    30, 36221,     1
    31, 26232,     3
    32,  8875,     2
    33,  2379,     2
    34,  5858,     1
    35, 18191,     2
    36, 21231,     3
    37, 18074,     3
    38, 17376,     1
    39,  8801,     2
    40,  6707,     1
    41, 11786,     1
    42, 18461,     2
    43,  8637,     1
    44, 32159,     2
    45, 53140,     2
    46, 42872,     2
    47,  6090,     2
    48, 13493,     3
    49,  8505,     3
    50,  4005,     1
    51,  2626,     1
    52,  5405,     2
    53, 16290,     2
    54,  7444,     3
    55, 13778,     4
    56, 61407,     3
    57, 43091,     1
    58,  1608,     2
    59, 27547,     1
    60, 18098,     1
    61,  4390,     3
    62, 77192,     1
    63, 88403,     3
    64, 20691,     1
    65, 11067,     2
    66,  9802,     1
    67, 10611,     2
    68, 20038,     1
    69,   515,     2
    70, 35692,     1
    71,  8676,     1
    72,  1307,     1
    73, 14499,     3
    74,  7719,     2
    75, 24110,     1
    76,  5053,     4
    77,  5519,     2
    78,  1822,     4
    79, 15706,     1
    80,  9731,     2
    81, 25387,     2
    82,  6423,     1
    83, 97212,     3
    84, 16555,     2
    85, 20211,     3
    86, 13872,     1
    87, 22070,     2
    88, 24577,     3
    89,   782,     3
    90,  3668,     2
    91,  8064,     1
    92, 42132,     2
    93,  7629,     1
    94, 18532,     3
    95, 79355,     2
    96, 11607,     4
    97, 12863,     1
    98,  1170,     2
    99, 15559,     4
   100,  3391,     4
   101,  8064,     1
   102, 57917,     1
   103, 24023,     3
   104, 29399,     1
   105, 26142,     3
   106,    33,     3
   107, 17021,     1
   108,  7526,     2
   109,  4950,     3
   110,    17,     3
   111,  5395,     2
   112,  6258,     2
   113, 30390,     2
   114,  7034,     2
   115, 33068,     2
   116,  2462,     3
   117,  2886,     1
   118,  9618,     1
   119,  2887,     2
   120, 23064,     4
   121,  9417,     2
   122, 52429,     3
   123, 47080,     2
   124, 12553,     1
   125,  9433,     2
   126,  4105,     2
   127, 45876,     2
   128, 14875,     1
   129,  7066,     2
   130, 19578,     3
   131,  7253,     1
   132, 49316,     1
   133,  3254,     1
   134,  9352,     3
   135, 99196,     2
   136, 46378,     3
   137,  9484,     2
   138, 10957,     1
   139, 13358,     1
   140, 14707,     3
   141, 17748,     4
   142, 20127,     2
   143,  1157,     1
   144, 78454,     2
   145, 55455,     1
   146,  3594,     1
   147, 41536,     2
   148,   126,     3
   149, 11165,     1
   150, 17389,     3
   151, 20278,     2
   152,  8593,     1
   153,  1316,     4
   154,  3926,     2
   155, 34103,     1
   156,  3909,     3
   157, 31747,     2
   158, 29135,     4
   159, 11469,     2
   160, 21690,     1
   161, 11560,     3
   162,  7617,     2
   163, 19158,     1
   164,  9335,     2
   165, 42537,     2
   166,  8458,     2
   167, 39894,     1
   168,   568,     1
   169, 14977,     2
   170, 14852,     1
   171, 10461,     1
   172,  6248,     1
   173, 14346,     1
   174, 12428,     1
   175, 35923,     3
   176,   593,     2
   177,   299,     4
   178, 73435,     3
   179, 34375,     1
   180,  1935,     4
   181,   151,     1
   182, 34734,     1
   183, 46415,     1
   184,  7931,     1
   185, 54886,     1
   186, 31048,     1
   187, 25502,     1
   188, 14647,     3
   189, 12505,     2
   190, 54369,     2
   191, 51233,     3
   192, 11661,     1
   193, 55220,     1
   194, 63037,     4
   195, 27391,     1
   196,  2869,     1
   197, 17205,     2
   198,  2681,     1
   199, 10957,     3
   200,  4479,     2
   201, 58538,     2
   202,   299,     4
   203,  6792,     2
   204, 38741,     1
   205,  5221,     1
   206, 19046,     1
   207, 36627,     4
   208, 10623,     1
   209, 63026,     3
   210,  8502,     2
   211, 11358,     1
   212,    13,     1
   213,  5214,     1
   214, 21739,     1
   215,  5392,     3
   216, 11921,     2
   217, 32402,     2
   218, 38318,     1
   219, 19372,     2
   220, 16328,     3
   221, 14075,     3
   222, 16070,     3
   223,  3243,     1
   224,  7532,     2
   225, 45225,     1
   226, 33709,     2
   227, 17043,     1
   228, 13641,     2
   229, 39487,     1
   230,  4178,     2
   231, 74720,     3
   232,  1420,     3
   233, 18266,     1
   234, 26471,     1
   235,  4885,     1
   236,  5700,     3
   237, 17645,     2
   238,  4456,     1
   239, 28910,     2
   240, 62811,     1
   241,  6585,     1
   242, 10321,     3
   243, 46879,     1
   244, 25932,     1
   245,  4199,     2
   246, 20812,     3
   247, 17088,     2
   248, 17676,     3
   249,  8159,     2
   250,  3469,     2
   251, 23597,     2
   252,  2908,     2
   253,  2640,     2
   254, 20163,     2
   255,    19,     2
   256,  2648,     4
   257, 43597,     4
   258,  2136,     2
   259,  1347,     1
   260, 20483,     1
   261, 15993,     1
   262,  5464,     1
   263, 27092,     2
   264, 27961,     2
   265, 19496,     3
   266, 20683,     1
   267,  9250,     2
   268,  5557,     2
   269, 15192,     2
   270,  2283,     4
   271,  6216,     4
   272,  9155,     2
   273, 34686,     3
   274, 27345,     2
   275, 15100,     2
   276, 18741,     1
   277, 13875,     3
   278, 23744,     2
   279, 27082,     1
   280,  9654,     2
   281,  7449,     2
   282,  4252,     1
   283, 18944,     2
   284,  2085,     2
   285, 27972,     3
   286, 32748,     2
   287,  3502,     3
   288,102514,     1
   289, 60938,     2
   290, 15946,     1
   291,   677,     2
   292,  8500,     3
   293, 15955,     1
   294, 11195,     4
   295, 75490,     1
   296, 24315,     2
   297,  2326,     2
   298, 44698,     2
   299, 53376,     2
   300,   282,     2
   301,  6579,     2
   302,  9702,     2
   303, 12785,     1
   304, 34069,     3
   305, 72370,     3
   306,  2052,     1
   307, 53987,     2
   308, 32595,     4
   309,  1707,     1
   310,  6363,     3
   311,  1134,     1
   312, 20836,     2
   313, 55762,     2
   314, 10963,     1
   315, 46427,     1
   316, 17958,     1
   317,  4955,     4
   318, 22302,     3
   319, 96501,     1
   320,  8281,     2
   321,  6896,     1
   322,  8439,     2
   323, 19722,     2
   324, 16278,     1
   325, 11067,     2
   326, 10098,     3
   327, 17153,     2
   328, 13174,     1
   329, 18954,     3
   330,  8429,     2
   331,  2590,     3
   332, 13224,     2
   333,  8926,     1
   334, 43299,     1
   335,   424,     2
   336, 34826,     2
   337, 26216,     2
   338,  5094,     2
   339, 37162,     2
   340, 43476,     2
   341, 49828,     2
   342, 30936,     2
   343,  7812,     1
   344,  7259,     1
   345,  3280,     1
   346, 27263,     3
   347, 16341,     2
   348, 22572,     1
   349, 30061,     2
   350, 25931,     1
   351,   294,     2
   352,  6666,     2
   353, 25720,     3
   354, 43552,     1
   355, 30767,     3
   356, 27940,     1
   357, 36072,     1
   358, 19726,     4
   359,  6596,     2
   360, 22190,     1
   361,  1951,     1
   362, 12354,     4
   363, 23696,     1
   364,  9293,     3
   365, 22286,     2
   366, 28670,     3
   367, 42814,     2
   368, 35604,     1
   369,  7684,     1
   370, 16648,     3
   371, 26562,     1
   372,  7244,     2
   373,  4667,     1
   374, 65237,     1
   375, 35886,     3
   376, 13222,     1
   377,  1055,     2
   378,  2555,     1
   379, 62150,     2
   380, 21333,     4
   381, 14631,     1
   382, 17386,     1
   383,  4224,     1
   384,  6288,     1
   385, 10156,     4
   386,  9781,     2
   387, 31476,     1
   388, 50975,     2
   389, 10556,     2
   390,  2227,     2
   391,  3857,     2
   392, 57422,     3
   393, 16167,     1
   394,   686,     2
   395, 60733,     3
   396, 39621,     2
   397, 12373,     1
   398, 24909,     1
   399, 25351,     2
   400,  4306,     2
   401,  6788,     2
   402, 23238,     4
   403, 48367,     1
   404,  1906,     3
   405, 45579,     1
   406, 17721,     3
   407,  4937,     3
   408, 15449,     1
   409, 14032,     1
   410,  1670,     1
   411, 15335,     3
   412, 20224,     4
   413, 10917,     2
   414, 10079,     3
   415,  8825,     1
   416,  6516,     1
   417,  3585,     2
   418, 14868,     1
   419, 83475,     2
   420, 30363,     1
   421, 10975,     2
   422, 48829,     1
   423, 54822,     3
   424, 29189,     4
   425, 19017,     1
