JNZ 8 ptr           		104863315           		16.665097           
CMP 32 imm          		104857778           		16.664217           
ADD 32 reg, imm     		104857736           		16.664210           
ADDSD 64 reg, reg   		104857600           		16.664189           
CVTSI2SD 64 reg, reg		104857600           		16.664189           
MOVAPD 128 reg, reg 		104857600           		16.664189           
MOV 64 reg, mem     		9251                		0.001470            
MOV 64 reg, reg     		6976                		0.001109            
MOV 64 mem, reg     		5546                		0.000881            
LEA 64 reg, reg     		4343                		0.000690            
ADD 64 reg, imm     		4209                		0.000669            
TEST 8 reg, reg     		3396                		0.000540            
MOVZX 32 reg, mem   		2870                		0.000456            
INC 64 reg          		2828                		0.000449            
JZ 32 ptr           		2522                		0.000401            
MOV 32 reg, mem     		2495                		0.000397            
JZ 8 ptr            		2456                		0.000390            
ADD 64 reg, mem     		2005                		0.000319            
TEST 64 reg, reg    		1903                		0.000302            
CMP 64 reg, reg     		1740                		0.000277            
JNZ 32 ptr          		1607                		0.000255            
PUSH 64 reg         		1599                		0.000254            
POP 64 reg          		1452                		0.000231            
SHL 64 reg, imm     		1408                		0.000224            
JNBE 8 ptr          		1391                		0.000221            
CMP 8 reg, mem      		1376                		0.000219            
MOV 8 reg, mem      		1376                		0.000219            
MOVZX 32 reg, reg   		1210                		0.000192            
MOV 32 reg, reg     		1159                		0.000184            
AND 32 reg, imm     		1135                		0.000180            
XOR 32 reg, reg     		1125                		0.000179            
TEST 32 reg, reg    		1044                		0.000166            
CMP 64 reg, imm     		1042                		0.000166            
MOV 32 reg, imm     		961                 		0.000153            
MOV 32 mem, reg     		958                 		0.000152            
RET_NEAR 64         		812                 		0.000129            
CALL_NEAR 32 ptr    		791                 		0.000126            
SHR 64 reg          		719                 		0.000114            
TEST 8 mem, imm     		690                 		0.000110            
MOV 64 mem, imm     		647                 		0.000103            
CMP 32 reg, imm     		569                 		0.000090            
SUB 64 reg, imm     		483                 		0.000077            
MOV 32 mem, imm     		448                 		0.000071            
SETZ 8 reg          		443                 		0.000070            
JMP 32 ptr          		423                 		0.000067            
NOP 16 mem, reg     		404                 		0.000064            
CMP 8 reg, imm      		357                 		0.000057            
CMP 64 mem, imm     		345                 		0.000055            
TEST 8 reg, imm     		337                 		0.000054            
JNBE 32 ptr         		304                 		0.000048            
JMP 8 ptr           		292                 		0.000046            
STOSQ 64            		288                 		0.000046            
CMP 8 reg, reg      		288                 		0.000046            
TEST 8 imm          		285                 		0.000045            
ADD 64 reg, reg     		264                 		0.000042            
SHR 64 reg, imm     		239                 		0.000038            
OR 32 reg, reg      		234                 		0.000037            
XOR 64 reg, reg     		230                 		0.000037            
AND 64 reg, reg     		227                 		0.000036            
CMP 8 imm           		225                 		0.000036            
SUB 64 reg, reg     		218                 		0.000035            
JNB 8 ptr           		215                 		0.000034            
CMP 64 reg, mem     		208                 		0.000033            
AND 32 reg, reg     		196                 		0.000031            
SHR 8 reg, imm      		194                 		0.000031            
NOP 32 mem, reg     		176                 		0.000028            
CMP 32 mem, imm     		169                 		0.000027            
CMP 64 mem, reg     		166                 		0.000026            
SUB 32 reg, imm     		157                 		0.000025            
JBE 32 ptr          		153                 		0.000024            
LEAVE 64            		143                 		0.000023            
JBE 8 ptr           		140                 		0.000022            
JMP 64 reg          		138                 		0.000022            
